Noelem= 2 
Element basis Numel Es Ep Ed Ef Mass HubbardU Wss Wpp Wdd Wff 
B pz 1.0 -13.7388 -5.2887 0.0000 0.0000 12.0200 9.9240 0.0000 0.0000 0.0000 0.0000 
T pz 1.0 -13.7388 -5.2887 0.0000 0.0000 12.0100 9.9241 0.0000 0.0000 0.0000 0.0000 
